id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
999;desconocido;99;desconocida;2024;Dengue;11;De 45 a 65 años;17;1
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;16;1
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;17;1
999;desconocido;99;desconocida;2024;Dengue;9;De 25 a 34 años;19;1
999;desconocido;99;desconocida;2024;Dengue;10;De 35 a 44 años;18;529
999;desconocido;99;desconocida;2024;Dengue;11;De 45 a 65 años;22;1
999;desconocido;99;desconocida;2024;Dengue;11;De 45 a 65 años;24;3
999;desconocido;99;desconocida;2024;Dengue;11;De 45 a 65 años;7;19
999;desconocido;99;desconocida;2024;Dengue;12;Mayores de 65 años;5;2
999;desconocido;99;desconocida;2024;Dengue;12;Mayores de 65 años;7;8
999;desconocido;99;desconocida;2024;Dengue;4;De 2 a 4 años;22;1
999;desconocido;99;desconocida;2024;Dengue;5;De 5 a 9 años;21;1
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;18;390
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;9;13
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;22;1
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;25;2
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;5;2
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;6;1
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;7;6
999;desconocido;99;desconocida;2024;Dengue;8;De 20 a 24 años;1;1
999;desconocido;10;Catamarca;2024;Dengue;11;De 45 a 65 años;14;1
999;desconocido;14;Córdoba;2024;Dengue;10;De 35 a 44 años;12;1
999;desconocido;14;Córdoba;2024;Dengue;6;De 10 a 14 años;14;1
999;desconocido;14;Córdoba;2024;Dengue;8;De 20 a 24 años;8;1
999;desconocido;14;Córdoba;2024;Dengue;9;De 25 a 34 años;13;5
999;desconocido;18;Corrientes;2024;Dengue;5;De 5 a 9 años;13;1
999;desconocido;18;Corrientes;2024;Dengue;9;De 25 a 34 años;13;1
999;desconocido;02;CABA;2024;Dengue;10;De 35 a 44 años;11;13
999;desconocido;02;CABA;2024;Dengue;12;Mayores de 65 años;5;1
999;desconocido;02;CABA;2024;Dengue;6;De 10 a 14 años;10;6
999;desconocido;02;CABA;2024;Dengue;6;De 10 a 14 años;11;9
999;desconocido;02;CABA;2024;Dengue;6;De 10 a 14 años;9;5
999;desconocido;02;CABA;2024;Dengue;7;De 15 a 19 años;6;1
999;desconocido;02;CABA;2024;Dengue;7;De 15 a 19 años;7;2
999;desconocido;02;CABA;2024;Dengue;9;De 25 a 34 años;13;9
999;desconocido;02;CABA;2024;Dengue;9;De 25 a 34 años;20;1
999;desconocido;22;Chaco;2024;Dengue;7;De 15 a 19 años;20;1
999;desconocido;46;La Rioja;2024;Dengue;7;De 15 a 19 años;16;1
999;desconocido;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;15;1
999;desconocido;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;12;2
999;desconocido;90;Tucumán;2024;Dengue;4;De 2 a 4 años;13;7
999;desconocido;90;Tucumán;2024;Dengue;5;De 5 a 9 años;13;2
001;COMUNA 1;02;CABA;2024;Dengue;10;De 35 a 44 años;15;104
001;COMUNA 1;02;CABA;2024;Dengue;11;De 45 a 65 años;4;20
001;COMUNA 1;02;CABA;2024;Dengue;11;De 45 a 65 años;7;161
001;COMUNA 1;02;CABA;2024;Dengue;12;Mayores de 65 años;22;2
001;COMUNA 1;02;CABA;2024;Dengue;12;Mayores de 65 años;5;5
001;COMUNA 1;02;CABA;2024;Dengue;6;De 10 a 14 años;15;52
001;COMUNA 1;02;CABA;2024;Dengue;6;De 10 a 14 años;2;2
001;COMUNA 1;02;CABA;2024;Dengue;6;De 10 a 14 años;20;3
001;COMUNA 1;02;CABA;2024;Dengue;7;De 15 a 19 años;13;107
001;COMUNA 1;02;CABA;2024;Dengue;8;De 20 a 24 años;18;39
001;COMUNA 1;02;CABA;2024;Dengue;8;De 20 a 24 años;9;69
001;COMUNA 1;02;CABA;2024;Dengue;9;De 25 a 34 años;26;1
002;COMUNA 2;02;CABA;2024;Dengue;10;De 35 a 44 años;17;4
002;COMUNA 2;02;CABA;2024;Dengue;11;De 45 a 65 años;11;8
002;COMUNA 2;02;CABA;2024;Dengue;8;De 20 a 24 años;15;2
002;COMUNA 2;02;CABA;2024;Dengue;8;De 20 a 24 años;16;4
002;COMUNA 2;02;CABA;2024;Dengue;8;De 20 a 24 años;17;1
002;COMUNA 2;02;CABA;2024;Dengue;8;De 20 a 24 años;9;1
002;COMUNA 2;02;CABA;2024;Dengue;9;De 25 a 34 años;12;12
003;COMUNA 3;02;CABA;2024;Dengue;10;De 35 a 44 años;16;6
003;COMUNA 3;02;CABA;2024;Dengue;11;De 45 a 65 años;10;20
003;COMUNA 3;02;CABA;2024;Dengue;11;De 45 a 65 años;8;12
999;desconocido;99;desconocida;2024;Dengue;10;De 35 a 44 años;6;1
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;12;3
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;14;4
999;desconocido;99;desconocida;2024;Dengue;8;De 20 a 24 años;10;1
999;desconocido;99;desconocida;2024;Dengue;11;De 45 a 65 años;8;28
999;desconocido;99;desconocida;2024;Dengue;3;De 13 a 24 meses;10;4
999;desconocido;99;desconocida;2024;Dengue;3;De 13 a 24 meses;11;6
999;desconocido;99;desconocida;2024;Dengue;4;De 2 a 4 años;9;1
999;desconocido;99;desconocida;2024;Dengue;5;De 5 a 9 años;10;17
999;desconocido;99;desconocida;2024;Dengue;5;De 5 a 9 años;12;30
999;desconocido;99;desconocida;2024;Dengue;5;De 5 a 9 años;25;1
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;17;508
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;2;1
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;22;1
999;desconocido;99;desconocida;2024;Dengue;6;De 10 a 14 años;3;2
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;10;18
999;desconocido;99;desconocida;2024;Dengue;7;De 15 a 19 años;26;4
999;desconocido;99;desconocida;2024;Dengue;8;De 20 a 24 años;16;558
999;desconocido;99;desconocida;2024;Dengue;9;De 25 a 34 años;1;6
999;desconocido;99;desconocida;2024;Dengue;9;De 25 a 34 años;11;73
999;desconocido;99;desconocida;2024;Dengue;9;De 25 a 34 años;12;94
999;desconocido;99;desconocida;2024;Dengue;9;De 25 a 34 años;8;32
